Id	Acts	Scenes	Figures
tg:11d11.0	5	25	-1
tg:11d1w.0	-1	-1	-1
tg:11d2m.0	5	24	-1
tg:11d42.0	5	22	-1
tg:11dtg.0	-1	-1	-1
tg:11f78.0	5	20	-1
tg:11f7n.0	-1	-1	-1
tg:11f81.0	5	0	-1
tg:11f9k.0	0	14	-1
tg:11fg5.0	-1	-1	-1
tg:11fzp.0	-1	-1	-1
tg:11g1d.0	5	0	-1
tg:11g3h.0	-1	-1	-1
tg:11g5f.0	5	37	-1
tg:11g5g.0	5	0	-1
tg:11g5q.0	-1	-1	-1
tg:11g5w.0	-1	-1	-1
tg:11g68.0	0	0	-1
tg:11g9q.0	-1	-1	-1
tg:11g9w.0	-1	-1	-1
tg:11gn9.0	-1	-1	-1
tg:11gtp.0	-1	-1	-1
tg:11gx9.0	-1	-1	-1
tg:11h10.0	-1	-1	-1
tg:11h60.0	-1	-1	-1
tg:11hb1.0	-1	-1	-1
tg:11hb5.0	-1	-1	-1
tg:11hdv.0	5	0	-1
tg:12675.0	-1	-1	-1
tg:jkhx.0	-1	-1	-1
tg:jkj1.0	-1	-1	-1
tg:jkjb.0	-1	-1	-1
tg:jkjf.0	-1	-1	-1
tg:jn5z.0	-1	-1	-1
tg:jn65.0	-1	-1	-1
tg:jn6f.0	-1	-1	-1
tg:jn6k.0	-1	-1	-1
tg:jn6r.0	-1	-1	-1
tg:jn73.0	-1	-1	-1
tg:jnhh.0	-1	-1	-1
tg:jnhn.0	-1	-1	-1
tg:jnj6.0	-1	-1	-1
tg:k1f7.0	-1	-1	-1
tg:k1fb.0	-1	-1	-1
tg:k1ff.0	-1	-1	-1
tg:k4xx.0	-1	-1	-1
tg:k59h.0	-1	-1	-1
tg:k77x.0	-1	-1	-1
tg:k7f7.0	-1	-1	-1
tg:k8cn.0	-1	-1	-1
tg:k936.0	-1	-1	-1
tg:k93c.0	-1	-1	-1
tg:k93g.0	-1	-1	-1
tg:k93r.0	-1	-1	-1
tg:k93v.0	-1	-1	-1
tg:k940.0	-1	-1	-1
tg:k942.0	-1	-1	-1
tg:kcj3.0	-1	-1	-1
